타임스탬프,"I have read and understood the instructions above. I agree to take part in this research, and I am 18 years old or over. ",How would you describe your gender? ,Which of the following age categories best describes you? ,What is the highest level of education that you have completed? ,"Which of the options best describes your frequency of coming across any influencer-generated marketing video? (This research defines ‘influencer-generated marketing video’ as the video content with promoting purpose, uploaded by an influencer who is sponsored either by the brand or a marketing agency.) ",How likely will you want to buy a product because the influencer present helpful and instructive information in influencer-generated marketing video?,How likely will you want to buy a product because it is presented in an entertaining way in an influencer-generated marketing video?
2022. 4. 14 오후 5:15:00,Yes / 我同意,Female / 女,18-25,Bachelor’s degree / 学士学历,About two to three times a week / 一周两至三次,Slightly likely / 一般可能,Not likely at all / 不可能
2022. 4. 14 오후 6:51:55,Yes / 我同意,Female / 女,18-25,Bachelor’s degree / 学士学历,Less than once a month / 低于一月一次,Slightly likely / 一般可能,Slightly likely / 一般可能
2022. 4. 14 오후 8:45:21,Yes / 我同意,Female / 女,18-25,Master's degree or higher / 硕士学历,About once a day / 一天一次,Moderately Likely / 可能,Very likely / 非常可能
2022. 4. 14 오후 8:46:20,Yes / 我同意,Female / 女,18-25,Master's degree or higher / 硕士学历,About once a day / 一天一次,Slightly likely / 一般可能,Slightly likely / 一般可能
2022. 4. 14 오후 8:47:01,Yes / 我同意,Female / 女,18-25,Bachelor’s degree / 学士学历,About once a week / 一周一次,Very likely / 非常可能,Very likely / 非常可能
2022. 4. 14 오후 8:47:02,Yes / 我同意,Female / 女,18-25,Bachelor’s degree / 学士学历,About two to three times a week / 一周两至三次,Moderately Likely / 可能,Moderately Likely / 可能
2022. 4. 14 오후 8:47:43,Yes / 我同意,Female / 女,18-25,Bachelor’s degree / 学士学历,About two to three times a week / 一周两至三次,Moderately Likely / 可能,Slightly likely / 一般可能
2022. 4. 14 오후 8:48:02,Yes / 我同意,Female / 女,18-25,Bachelor’s degree / 学士学历,About once a week / 一周一次,Slightly likely / 一般可能,Slightly likely / 一般可能
2022. 4. 14 오후 8:52:02,Yes / 我同意,Male / 男,18-25,Master's degree or higher / 硕士学历,About once a month / 一月一次,Very likely / 非常可能,Very likely / 非常可能
2022. 4. 14 오후 8:52:36,Yes / 我同意,Female / 女,18-25,Bachelor’s degree / 学士学历,About once a day / 一天一次,Moderately Likely / 可能,Moderately Likely / 可能
2022. 4. 14 오후 8:54:40,Yes / 我同意,Female / 女,26-35,Bachelor’s degree / 学士学历,About two to three times a week / 一周两至三次,Slightly likely / 一般可能,Moderately Likely / 可能
2022. 4. 14 오후 9:02:46,Yes / 我同意,Female / 女,18-25,Master's degree or higher / 硕士学历,About once a week / 一周一次,Moderately Likely / 可能,Moderately Likely / 可能
2022. 4. 14 오후 9:03:37,Yes / 我同意,Female / 女,18-25,Bachelor’s degree / 学士学历,About once a week / 一周一次,Moderately Likely / 可能,Moderately Likely / 可能
2022. 4. 14 오후 9:03:44,Yes / 我同意,Female / 女,18-25,Bachelor’s degree / 学士学历,About once a week / 一周一次,Slightly likely / 一般可能,Slightly likely / 一般可能
2022. 4. 14 오후 9:05:55,Yes / 我同意,Female / 女,18-25,Master's degree or higher / 硕士学历,More than once a day / 高于一天一次,Slightly likely / 一般可能,Moderately Likely / 可能
2022. 4. 14 오후 9:09:44,Yes / 我同意,Female / 女,18-25,Master's degree or higher / 硕士学历,,Not likely at all / 不可能,Not likely at all / 不可能
2022. 4. 14 오후 9:10:44,Yes / 我同意,Female / 女,18-25,Master's degree or higher / 硕士学历,About once a week / 一周一次,Moderately Likely / 可能,Very likely / 非常可能
2022. 4. 14 오후 9:17:36,Yes / 我同意,Female / 女,18-25,Master's degree or higher / 硕士学历,About once a week / 一周一次,Slightly likely / 一般可能,Moderately Likely / 可能
2022. 4. 14 오후 9:21:31,Yes / 我同意,Female / 女,18-25,Master's degree or higher / 硕士学历,More than once a day / 高于一天一次,Slightly likely / 一般可能,Slightly likely / 一般可能
2022. 4. 14 오후 9:33:32,Yes / 我同意,Female / 女,26-35,Master's degree or higher / 硕士学历,About once a month / 一月一次,Moderately Likely / 可能,Moderately Likely / 可能
2022. 4. 14 오후 9:34:41,Yes / 我同意,Female / 女,18-25,Master's degree or higher / 硕士学历,About two to three times a week / 一周两至三次,Slightly likely / 一般可能,Moderately Likely / 可能
2022. 4. 14 오후 9:36:19,Yes / 我同意,Female / 女,18-25,Master's degree or higher / 硕士学历,About once a week / 一周一次,Slightly likely / 一般可能,Slightly likely / 一般可能
2022. 4. 14 오후 9:38:31,Yes / 我同意,Female / 女,18-25,Master's degree or higher / 硕士学历,About two to three times a week / 一周两至三次,Slightly likely / 一般可能,Very likely / 非常可能
2022. 4. 14 오후 10:40:05,Yes / 我同意,Female / 女,18-25,Bachelor’s degree / 学士学历,About two to three times a week / 一周两至三次,Slightly likely / 一般可能,Not likely at all / 不可能
2022. 4. 14 오후 10:40:18,Yes / 我同意,Male / 男,18-25,Bachelor’s degree / 学士学历,More than once a day / 高于一天一次,Not likely at all / 不可能,Not likely at all / 不可能
2022. 4. 14 오후 10:40:20,Yes / 我同意,Male / 男,18-25,Master's degree or higher / 硕士学历,About once a day / 一天一次,Moderately Likely / 可能,Very likely / 非常可能
2022. 4. 14 오후 10:40:34,Yes / 我同意,Male / 男,18-25,Bachelor’s degree / 学士学历,About once a month / 一月一次,Not likely at all / 不可能,Not likely at all / 不可能
2022. 4. 14 오후 10:40:53,Yes / 我同意,Female / 女,18-25,Bachelor’s degree / 学士学历,About once a day / 一天一次,Slightly likely / 一般可能,Slightly likely / 一般可能
2022. 4. 14 오후 10:41:49,Yes / 我同意,Male / 男,18-25,Bachelor’s degree / 学士学历,About once a week / 一周一次,Slightly likely / 一般可能,Slightly likely / 一般可能
2022. 4. 14 오후 10:42:44,Yes / 我同意,Male / 男,26-35,Master's degree or higher / 硕士学历,About two to three times a week / 一周两至三次,Very likely / 非常可能,Very likely / 非常可能
2022. 4. 14 오후 10:43:02,Yes / 我同意,Male / 男,26-35,Master's degree or higher / 硕士学历,Less than once a month / 低于一月一次,Slightly likely / 一般可能,Slightly likely / 一般可能
2022. 4. 14 오후 10:43:23,Yes / 我同意,Female / 女,18-25,Bachelor’s degree / 学士学历,About two to three times a week / 一周两至三次,Moderately Likely / 可能,Moderately Likely / 可能
2022. 4. 14 오후 10:43:25,Yes / 我同意,Male / 男,26-35,Master's degree or higher / 硕士学历,Less than once a month / 低于一月一次,Very likely / 非常可能,Very likely / 非常可能
